Size	Depth	IDFS time	A* time	IDFS nodes	A* nodes
5 	 5 	 8.476298 	 0.11096799999999973 	 102 	 6
5 	 4 	 1.00962 	 0.05120800000000081 	 33 	 5
5 	 6 	 51.059244 	 0.12309400000000181 	 255 	 7
5 	 7 	 670.9978000000001 	 0.13852599999995618 	 906 	 8
5 	 3 	 0.013720000000034815 	 0.010097999999970853 	 7 	 4
5 	 2 	 0.0031639999999697466 	 0.004613999999946827 	 3 	 3
5 	 1 	 0.0003699999999753345 	 0.0009159999999610591 	 1 	 2
7 	 5 	 9.157897999999932 	 0.0896979999999985 	 93 	 6
7 	 2 	 0.0020519999999351057 	 0.002709999999979118 	 3 	 3
7 	 6 	 79.28053399999999 	 0.1261500000000524 	 288 	 7
7 	 7 	 2049.970926 	 0.2817000000000007 	 1448 	 9
7 	 3 	 0.04758400000037 	 0.02047199999969962 	 8 	 4
7 	 2 	 0.0034639999998944404 	 0.005216000000018539 	 3 	 3
7 	 1 	 0.00042600000006132177 	 0.0010680000000320433 	 1 	 2
